tl_genre,genre,subgenres,visuals,themes,features,players,other,software,assessments,ratings,hardware,funding
,MMORPG,Programming,,Historical,Nonlinear,,,,,,,
,MOBA,Real Time Tactics,,Horses,Open World,,,,,,,
,Motocross,Roguelite,,Illuminati,Perma Death,,,,,,,
,Open World,Roguevania,,Investigation,Physics,,,,,,,
,Outbreak Sim,Runner,,Jet,Procedural Generation,,,,,,,
,Party-Based RPG,Shoot 'Em Up,,Lemmings,PvE,,,,,,,
,Pinball,Side Scroller,,LGBTQ+,PvP,,,,,,,
,Platformer,Sokoban,,Logic,Quick-Time Events,,,,,,,
,Point & Click,Solitaire,,Loot,Resource Management,,,,,,,
,Rhythm,Souls-like,,Lovecraftian,Sailing,,,,,,,
,Roguelike,Spectacle fighter,,Magic,Score Attack,,,,,,,
,RTS,Spelling,,Management,Stealth,,,,,,,
,Sandbox,Survival Horror,,Mars,Story Rich,,,,,,,
,Shooter,Tactical RPG,,Mechs,Tabletop,,,,,,,
,Skateboarding,Third-Person Shooter,,Medieval,Team-Based,,,,,,,
,Skating,Time Management,,Memes,Text-Based,,,,,,,
,Skiing,Top-Down Shooter,,Military,Time Manipulation,,,,,,,
,Snowboarding,Trading,,Modern,Trading,,,,,,,
,Soccer,Trading Card Game,,Motorbike,Turn-Based Combat,,,,,,,
,Space Sim,Traditional Roguelike,,Mystery,Turn-Based Tactics,,,,,,,
,Stealth,Turn-Based Tactics,,Mythology,Tutorial,,,,,,,
,Strategy RPG,Twin Stick Shooter,,Nature,Vehicular Combat,,,,,,,
,Survival,Typing,,Naval,Female Protagonist,,,,,,,
,Tennis,Wargame,,Ninja,Silent Protagonist,,,,,,,
,Tower Defense,,,Offroad,Villain Protagonist,,,,,,,
,Trivia,,,Old School,Minigames,,,,,,,
,Turn-Based Strategy,,,Otome,Intentionally Awkward Controls,,,,,,,
,Visual Novel,,,Parkour,,,,,,,,
,Walking Simulator,,,Philosophical,,,,,,,,
,Word Game,,,Pirates,,,,,,,,
,Wrestling,,,Political,,,,,,,,
,,,,Politics,,,,,,,,
,,,,Pool,,,,,,,,
,,,,Post-apocalyptic,,,,,,,,
,,,,Programming,,,,,,,,
,,,,Retro,,,,,,,,
,,,,Robots,,,,,,,,
,,,,Romance,,,,,,,,
,,,,Rome,,,,,,,,
,,,,Satire,,,,,,,,
,,,,Science,,,,,,,,
,,,,Sci-fi,,,,,,,,
,,,,Sniper,,,,,,,,
,,,,Snow,,,,,,,,
,,,,Space,,,,,,,,
,,,,Stealth,,,,,,,,
,,,,Steampunk,,,,,,,,
,,,,Submarine,,,,,,,,
,,,,Superhero,,,,,,,,
,,,,Supernatural,,,,,,,,
,,,,Surreal,,,,,,,,
,,,,Survival,,,,,,,,
,,,,Swordplay,,,,,,,,
,,,,Tactical,,,,,,,,
,,,,Tanks,,,,,,,,
,,,,Thriller,,,,,,,,
,,,,Time Travel,,,,,,,,
,,,,Trains,,,,,,,,
,,,,Transhumanism,,,,,,,,
,,,,Transportation,,,,,,,,
,,,,Underground,,,,,,,,
,,,,Underwater,,,,,,,,
,,,,Vampire,,,,,,,,
,,,,War,,,,,,,,
,,,,Werewolves,,,,,,,,
,,,,Western,,,,,,,,
,,,,World War I,,,,,,,,
,,,,World War II,,,,,,,,
